,id,name,movie_id,movie_title,gender,position
0,0,bianca,0,10 things i hate about you,True,4.0
1,1,bruce,0,10 things i hate about you,,
2,2,cameron,0,10 things i hate about you,False,3.0
3,3,chastity,0,10 things i hate about you,,
4,4,joey,0,10 things i hate about you,False,6.0
5,5,kat,0,10 things i hate about you,True,2.0
6,6,mandella,0,10 things i hate about you,True,7.0
7,7,michael,0,10 things i hate about you,False,5.0
8,8,miss perky,0,10 things i hate about you,,
9,9,patrick,0,10 things i hate about you,False,1.0
10,10,sharon,0,10 things i hate about you,,
11,11,walter,0,10 things i hate about you,False,9.0
12,12,alonso,1,1492: conquest of paradise,,
13,13,arojaz,1,1492: conquest of paradise,,
14,14,beatrix,1,1492: conquest of paradise,,
15,15,bobadilla,1,1492: conquest of paradise,,
16,16,columbus,1,1492: conquest of paradise,False,1.0
17,17,fernando,1,1492: conquest of paradise,,
18,18,isabel,1,1492: conquest of paradise,,
19,19,marchena,1,1492: conquest of paradise,False,6.0
20,20,mendez,1,1492: conquest of paradise,,
21,21,moxica,1,1492: conquest of paradise,,
22,22,pinzon,1,1492: conquest of paradise,,
23,23,sailor,1,1492: conquest of paradise,,
24,24,sanchez,1,1492: conquest of paradise,,
25,25,utapan,1,1492: conquest of paradise,,
26,26,cutler,2,15 minutes,False,
27,27,daphne,2,15 minutes,True,8.0
28,28,duffy,2,15 minutes,,
29,29,eddie,2,15 minutes,False,1.0
30,30,emil,2,15 minutes,False,6.0
31,31,hawkins,2,15 minutes,,
32,32,honey,2,15 minutes,,
33,33,immigration officer,2,15 minutes,,
34,34,jordy,2,15 minutes,False,2.0
35,35,korfin,2,15 minutes,False,9.0
36,36,leon,2,15 minutes,,
37,37,maggie,2,15 minutes,,
38,38,max,2,15 minutes,,
39,39,milos,2,15 minutes,,
40,40,mugger,2,15 minutes,,
41,41,nicolette,2,15 minutes,True,5.0
42,42,oleg,2,15 minutes,False,7.0
43,43,robert hawkins,2,15 minutes,,
44,44,rose,2,15 minutes,,
45,45,secondary officer,2,15 minutes,,
46,46,stephen geller,2,15 minutes,,
47,47,tommy,2,15 minutes,,
48,48,vendor,2,15 minutes,,
49,49,b20,3,2001: a space odyssey,,
50,50,bowman,3,2001: a space odyssey,False,1.0
51,51,c12,3,2001: a space odyssey,,
52,52,child,3,2001: a space odyssey,,
53,53,co-pilot,3,2001: a space odyssey,,
54,54,elena,3,2001: a space odyssey,,
55,55,floyd,3,2001: a space odyssey,,
56,56,hal,3,2001: a space odyssey,False,7.0
57,57,michaels,3,2001: a space odyssey,,
58,58,miller,3,2001: a space odyssey,,
59,59,pilot,3,2001: a space odyssey,,
60,60,poole,3,2001: a space odyssey,False,2.0
61,61,smyslov,3,2001: a space odyssey,,
62,62,attendant,4,48 hrs.,,
63,63,bartender,4,48 hrs.,,
64,64,billy,4,48 hrs.,,
65,65,candy,4,48 hrs.,,
66,66,casey,4,48 hrs.,,
67,67,cates,4,48 hrs.,False,1.0
68,68,elaine,4,48 hrs.,True,3.0
69,69,ganz,4,48 hrs.,,
70,70,haden,4,48 hrs.,,
71,71,hammond,4,48 hrs.,False,2.0
72,72,henry,4,48 hrs.,,
73,73,kehoe,4,48 hrs.,,
74,74,lisa,4,48 hrs.,,
75,75,luther,4,48 hrs.,,
76,76,sosna,4,48 hrs.,,
77,77,young cop,4,48 hrs.,,
78,78,cornelius,5,the fifth element,False,3.0
79,79,david,5,the fifth element,,
80,80,diva,5,the fifth element,,
81,81,finger,5,the fifth element,,
82,82,girl,5,the fifth element,,
83,83,kommander,5,the fifth element,,
84,84,korben,5,the fifth element,False,1.0
85,85,leeloo,5,the fifth element,True,4.0
86,86,loc rhod,5,the fifth element,,
87,87,mactilburgh,5,the fifth element,,
88,88,mother,5,the fifth element,,
89,89,mugger,5,the fifth element,,
90,90,munro,5,the fifth element,,
91,91,president,5,the fifth element,,
92,92,priest,5,the fifth element,,
93,93,professor,5,the fifth element,,
94,94,secretary,5,the fifth element,,
95,95,shadow,5,the fifth element,,
96,96,staedert,5,the fifth element,,
97,97,thai,5,the fifth element,,
98,98,voice,5,the fifth element,,
99,99,zorg,5,the fifth element,,
100,100,amy,6,8mm,True,7.0
101,101,angry dealer,6,8mm,,
102,102,dino,6,8mm,,
103,103,dino velvet,6,8mm,False,4.0
104,104,director,6,8mm,,
105,105,eddie,6,8mm,False,3.0
106,106,longdale,6,8mm,False,5.0
107,107,male voice,6,8mm,,
108,108,max,6,8mm,False,2.0
109,109,mrs christian,6,8mm,M,
110,110,mrs mathews,6,8mm,M,
111,111,nun,6,8mm,,
112,112,politician,6,8mm,,
113,113,salesperson,6,8mm,,
114,114,welles,6,8mm,False,1.0
115,115,alice,7,a nightmare on elm street 4: the dream master,True,1.0
116,116,dan,7,a nightmare on elm street 4: the dream master,False,3.0
117,117,debbie,7,a nightmare on elm street 4: the dream master,,
118,118,elaine,7,a nightmare on elm street 4: the dream master,,
119,119,kristen,7,a nightmare on elm street 4: the dream master,,
120,120,nurse,7,a nightmare on elm street 4: the dream master,,
121,121,rick,7,a nightmare on elm street 4: the dream master,,
122,122,sheila,7,a nightmare on elm street 4: the dream master,,
123,123,alice,8,a nightmare on elm street: the dream child,True,2.0
